ID_ACIDENT;CADLOGA;CADLOGB;ALT_NUM;REFERENCIA;DATA;HORA;COD_ACID;FONTE;VIATURA;DP;TALAO;SENTIDO;PISTA;VEICULOS;VITIMAS;DEC;DISTRITO;FOLHA;PRINC_A;PRINC_B;PLACA1;TIPO_PLAC1;PLACA2;TIPO_PLAC2;PLACA3;TIPO_PLAC3;TIPO_ACIDE;FLAG_DUPL;NV_DUPL;DUPLACAS
D071202185;09276;;1264;;31/07/2012;0235;4;D;;77;5731;;;00000000000000010;0001;CT;67;0009;09276;;;SI;;;;;AT;;;
D071300004;06642;;3017;;01/07/2013;1717;4;D;;01;5516;;;10000000000000000;0100;CN3;80;0101;06642;;LTL4506;AU;;;;;AT;;;
D071300006;01003;19764;;;03/07/2013;1217;4;D;;01;5379;;;10000000000000000;0100;CN3;80;0101;01003;19764;DWJ2695;AU;;;;;AT;;;
D071300007;19764;;354;;03/07/2013;1700;2;D;;01;5397;;;11000000000100000;0100;CN3;80;0101;19764;;BYR3550;MO;EAN4176;AU;LVD4126;CM;CO;;;
D071300008;19764;;;NC;07/07/2013;0450;2;D;;01;5413;;;10000000000000000;0100;SI;SI;0101;19764;;DLQ3719;AU;;;;;CH;;;
D071300010;15984;;928;;04/07/2013;0830;4;D;;01;5431;;;10000000000000000;0100;CN3;80;0102;15984;;EQJ7649;AU;;;;;AT;;;
D071300012;11824;;446;;03/07/2013;1500;2;D;;01;5495;;;11000000000000000;0100;CN3;80;0102;11824;;EGZ0166;MO;EMH6654;AU;;;CO;;;
D071300013;16725;;;NC;10/07/2013;0852;2;D;;01;5547;;;11000000000000000;0100;CN3;67;0102;16725;;EFK6039;MO;DTE4457;AU;;;CO;;;
D071300015;13317;;172;;11/07/2013;2040;4;D;;01;5566;;;10000000000000000;0100;CN3;67;0102;13317;;FDI7830;AU;;;;;AT;;;
D071300017;15635;10376;;;11/07/2013;0810;2;D;;01;5591;;;11000000000000000;0100;CN3;80;0102;10376;15635;EQD4865;MO;EMF8706;AU;;;CO;;;
D071300018;19745;08734;;;14/07/2013;0751;4;D;;01;5631;;;00000001000000000;0100;CN3;80;0102;08734;19745;EZL5803;OU;;;;;AT;;;
D071300020;10376;;;NC;15/07/2013;1650;4;D;;01;5714;;;10000000000000000;0100;CN3;80;0102;10376;;FIH7192;AU;;;;;AT;;;
D071300025;05111;16870;;;20/07/2013;1840;4;D;;01;5858;;;10000000000000000;0100;CN3;80;0103;05111;16870;EMK5003;AU;;;;;AT;;;
D071300026;03189;;85;;19/07/2013;1320;4;D;;01;6860;;;01000000000000000;0100;CN3;80;0103;03189;;BPS6650;MO;;;;;AT;;;
D071300031;35597;;;NC;25/07/2013;0030;4;D;;01;6020;;;00100000000000000;0100;CN3;80;0103;12165;;DTD4034;ON;;;;;AT;;;
D071300035;10376;;;NC;30/07/2013;0703;4;D;;01;6116;;;10000000000000000;0100;CN3;80;0104;10376;;EKK7477;AU;;;;;AT;;;
D071300038;19764;;;NC;23/07/2013;0540;2;D;;01;7013;C;;01000000000000000;0100;SI;SI;0104;19764;;CFN7952;MO;;;;;QM;;;
D071300061;09276;17115;;;16/07/2013;2030;4;D;;03;4373;;;01000000000000000;0300;CN3;67;0107;09276;17115;FKL4779;MO;;;;;AT;;;
D071300063;09276;;895;;28/07/2013;0425;4;D;;03;4594;;;00000000000000010;0100;CN3;67;0107;09276;;;SI;;;;;AT;;;
D071300064;19996;;10;;21/07/2013;2236;2;D;;03;4676;;;00200000000000000;0100;CN3;67;0107;19996;;EZL9805;ON;;ON;;;CL;;;
D071300066;17986;;;NC;16/07/2013;1720;2;D;;03;5780;;;01000000000000010;0100;CN3;67;0107;17986;;EIE4413;MO;ECT6504;SI;;;CT;;;
D071300068;19996;;204;;23/07/2013;1235;4;D;;03;5834;;;00000000000000010;0100;CN3;67;0107;19996;;;SI;;;;;AT;;;
D071300070;16725;16593;;;21/07/2013;0730;2;D;;03;5877;C;;01000000000000000;0100;CN3;80;0108;16593;16725;DRZ3893;MO;;;;;QM;;;
D071300072;12132;;282;;26/07/2013;1700;2;D;;03;6620;;;00000001000000000;0100;CN3;67;0108;12132;;DTA9756;OU;;;;;QD;;;
D071300097;14804;;;PXR MANOEL DUTR;06/07/2013;2100;2;D;;05;5963;;;11000000000000000;0200;SO1;07;0111;14804;;FGI3997;AU;EQS0112;MO;;;CO;;;
D071300391;19764;;;PXPAV.C.MATARAZ;23/07/2013;1717;2;D;;36;3130;;;01000000000000000;0100;SU2;53;0216;19764;;EXL1893;MO;;;;;CT;;;
D071300392;19764;;;PXVD TUTOIA;24/07/2013;1652;2;D;;36;3146;;;11000000000000000;0100;SU2;92;0217;19271;19764;DZM9441;MO;FAQ2141;AU;;;CF;;;
D071300402;19764;;;PXTN AYRTON SEN;13/07/2013;1857;2;D;;36;7474;;;10010000000100000;0200;SU2;53;0218;19764;;CPG2883;CA;EAM6292;AU;DTE3759;CM;CO;;;
D081200007;06642;13853;;;02/08/2012;2348;2;D;;01;5345;;;00000000000100000;0100;CT;80;0101;06642;13853;DVJ2475;CM;;;;;CO;;;
D081200011;19764;;100;;24/08/2012;2249;4;D;;01;5869;;;10000000000000000;0100;VM;17;0102;19764;;EML2996;AU;;;;;AT;;;
D081200013;16725;;150;;28/08/2012;0300;2;D;;01;5952;;;20000000000000000;0100;CT;09;0103;16725;;FCB3301;AU;EYR1469;AU;;;CO;;;
D081200015;13317;;200;;31/08/2012;0005;4;D;;01;6042;;;10000000000000000;0100;CT;17;0103;13317;;FOX8797;AU;;;;;AT;;;
D081200019;15603;;27;;04/08/2012;1642;2;D;;01;7182;;;00010000000000000;0100;CT;01;0103;15603;;DVI6420;CA;;;;;OU;;;
D081200020;16725;;536;;09/08/2012;0815;2;D;;01;7345;;;21000000000000000;0100;CT;09;0103;16725;;EXC1275;MO;DTA2243;AU;DRO1999;AU;CO;;;
D081200021;04146;;390;;10/08/2012;0740;4;D;;01;7378;;;10000000000000000;0100;CT;09;0104;04146;;EQF1498;AU;;;;;AT;;;
D081200023;06642;;3403;;10/08/2012;1810;2;D;;01;7404;;;01000000000100000;0100;CT;09;0104;06642;;CZO7801;CM;EQE5717;MO;;;CO;;;
D081200024;13853;;590;;11/08/2012;0900;4;D;;01;7408;;;00000000000100000;0100;CT;09;0104;13853;;EVT6515;CM;;;;;AT;;;
D081200028;13317;;88;;20/08/2012;0900;4;D;;01;7681;;;10000000000000000;0100;CT;17;0104;13317;;BMV5508;AU;;;;;AT;;;
D081200030;19745;;533;;23/08/2012;1040;4;D;;01;7808;;;10000000000000000;0100;CT;80;0104;19745;;FCB1148;AU;;;;;AT;;;
D081200031;19764;;;PXPC DR JOAO ME;24/08/2012;1050;2;D;;01;7846;;;11000000000000000;0100;;17;0105;19764;;DAC8571;MO;EBC1896;AU;;;CL;;;
D081200033;19745;;795;;27/08/2012;1736;4;D;;01;7943;;;10000000000000000;0100;CT;80;0105;19745;;DSM6775;AU;;;;;AT;;;
D081200037;17025;;246;;14/08/2012;1830;4;D;;01;8387;;;10000000000000000;0100;CT;01;0105;17025;;FAL9877;AU;;;;;AT;;;
D081200059;16593;16725;;;11/08/2012;1335;2;D;;02;6323;C;;11000000000000000;0100;CT;67;0108;16593;16725;DWK2383;AU;DOU2359;MO;;;CO;;;
D081200063;19764;;;PXR LAD DA MEMO;10/08/2012;1030;2;D;;03;5176;B;;11000000000000000;0100;;17;0109;19764;;DXF9266;AU;KUS6703;MO;;;CO;;;
D081200064;09276;;1290;;04/08/2012;1800;4;D;;03;5852;;;10000000000000000;0100;CT;67;0109;09276;;HEW5460;AU;;;;;AT;;;
D081200065;16593;;99;;03/08/2012;1315;2;D;;03;6070;;;11000000000000000;0100;CT;09;0109;16593;;EQG5080;AU;EJN8027;MO;;;CO;;;
D081200074;09276;;1251;;17/08/2012;0800;2;D;;03;6497;;;00000001000000000;0100;CT;67;0110;09276;;EZL7886;OU;;;;;QD;;;
D081200078;19996;;120;;30/08/2012;1900;2;D;;03;6942;;;01000000000000000;0100;CT;00;0110;19996;;EGY4724;MO;;;;;QM;;;
D081200081;17000;;;NC;21/08/2012;1313;2;D;;03;7749;;;00000001000000000;0100;;00;0110;17000;;DTE0118;OU;;;;;QD;;;
D081200082;03403;;;NC;04/08/2012;1200;2;D;;03;2718;;;11000000000000000;0100;;80;0110;03403;;ENL9533;AU;DJU7240;MO;;;CO;;;
D081200090;14804;;238;;16/08/2012;0900;2;D;;04;5318;;;01000000000000000;0100;CT;63;0111;14804;;EII9109;MO;;;;;QM;;;
D081200119;14810;;;NC;14/08/2012;1630;4;D;;05;4659;;;01000000000000000;0100;;67;0115;14810;;ALU2981;MO;;;;;AT;;;
D081200458;19764;;;NC;18/08/2012;1320;2;D;;36;3176;;;01000000000000000;0100;;17;0222;19764;;FLP0113;MO;;;;;QM;;;
D081200461;19764;;;PXVD TUTOIA;28/08/2012;0620;2;D;;36;3304;C;;11000000000000000;0100;;17;0223;19764;;ECN5848;MO;FDH0473;AU;;;CT;;;
D081200462;19764;;;PXPTE INDIANOPO;13/08/2012;1810;2;D;;36;3306;;;11000000000000000;0100;;17;0223;19764;;EJO9739;MO;FAG1416;AU;;;CT;;;
D081200465;19764;;;NC;31/08/2012;1650;2;D;;36;3399;;;00100000000000000;0100;;17;0223;19764;;;ON;;;;;QD;;;
D081200525;06238;;12951;;02/08/2012;2128;2;D;;96;7573;;;21000000000000000;0100;PB;90;0230;13014;;EXF3235;MO;AQF8711;AU;ERF8671;AU;SI;;;
D081200891;01429;;17000;;16/08/2012;0903;2;D;;46;3856;;;00000001000100000;0200;RV;73;0337;01429;;DMB3602;CM;ECT3915;OU;;;CT;;;
D081201010;13014;;17000;;10/08/2012;0830;2;D;;89;5974;;;01000000000000010;0100;PB;40;0351;13014;;EQR3936;MO;;SI;;;SI;;;
D081202601;15984;;946;;02/08/2012;2205;4;D;;08;5342;;;00100000000000000;0001;CT;01;0001;15984;;DJB0223;ON;;;;;AT;;;
D091200005;06642;;3350;;07/09/2012;0058;4;D;;01;6232;;;01000000000000000;0100;CT;09;0101;06642;;EGZ1898;MO;;;;;AT;;;
D091200008;03403;;175;;16/09/2012;0045;4;D;;01;6444;;;10000000000000000;0100;CT;80;0101;03403;;KYB4933;AU;;;;;AT;;;
D091200009;16725;06136;;;16/09/2012;1344;2;D;;01;6458;C;;01000000000000010;0100;CT;80;0101;06136;16725;CDI4765;MO;;SI;;;CL;;;
D091200010;16523;;113;;18/09/2012;2156;4;D;;01;6526;C;;01000000000000000;0100;CT;01;0101;16523;;DVH1261;MO;;;;;AT;;;
D091200013;10376;;45;;25/09/2012;2218;4;D;;01;6693;;;10010000000000000;0100;CT;80;0102;10376;;ELB5865;CA;DIV5938;AU;;;AT;;;
D091200016;06642;;3100;;06/09/2012;1530;2;D;;01;7398;;;11000000000000000;0100;CT;09;0102;06642;;EHZ8676;MO;CRJ8702;AU;;;CO;;;
D091200022;03403;;314;;12/09/2012;0850;4;D;;01;8467;;;00000001000000000;0100;CT;80;0102;03403;;DTA3952;OU;;;;;AT;;;
D091200023;05520;17025;;;14/09/2012;1000;2;D;;01;8554;;;20000000000000000;0100;CT;80;0102;05520;17025;EXT4035;AU;DCO6116;AU;;;CO;;;
D091200026;19764;;;SBVD JACEGUAI;26/09/2012;0855;2;D;;01;8926;;;02000000000000000;0100;;17;0103;19764;;ESE8390;MO;DRY6381;MO;;;CO;;;
D091200027;16725;;526;;28/09/2012;1606;4;D;;01;9038;;;00000001000000000;0100;CT;09;0103;16725;;EMU0967;OU;;;;;AT;;;
D091200028;19745;;324;;29/09/2012;0859;4;D;;01;9054;;;00000000000100000;0100;CT;80;0103;19745;;DZG6328;CM;;;;;AT;;;
D091200029;17545;;;NC;02/09/2012;0655;2;D;;01;10564;;;00000001000000000;0100;;01;0103;17545;;DTD0281;OU;;;;;QD;;;
D091200030;15635;17293;;;14/09/2012;0840;2;D;;01;900580;;;11000000000000000;0100;CT;80;0103;15635;17293;FAY4221;MO;DWR2346;AU;;;CO;;;
D091200031;10376;;;NC;18/09/2012;1700;2;D;;01;900592;;;11000000000000000;0100;;80;0103;10376;;MST6003;MO;LOQ2210;AU;;;CO;;;
D091200064;09276;10101;;;14/09/2012;2309;4;D;;03;6812;;;01000000000000000;0200;CT;67;0107;09276;10101;DYW1259;MO;;;;;AT;;;
D091200065;09276;;746;;14/09/2012;2012;4;D;;03;6816;;;00000001000000000;0100;CT;67;0107;09276;;DJB1214;OU;;;;;AT;;;
D091200066;16593;;242;;03/09/2012;1000;2;D;;03;7021;;;11000000000000000;0100;CT;09;0107;16593;;CAJ6738;AU;DCR1163;MO;;;CL;;;
D091200067;00700;;71;;07/09/2012;0715;2;D;;03;7176;;;01000000000100000;0100;CT;67;0107;00700;;DJL3925;CM;ECS9849;MO;;;CO;;;
D091200068;19996;;316;;10/09/2012;1029;2;D;;03;7240;;;11000000000000000;0100;CT;00;0107;19996;;DIG7196;AU;DAA3962;MO;;;CO;;;
D091200070;14804;;99;;14/09/2012;1615;2;D;;03;7427;;;01000000000000000;0100;CT;63;0108;14804;;EJM5548;MO;;;;;QM;;;
D091200072;09276;;727;;19/09/2012;1845;4;D;;03;7583;;;10000000000000000;0100;CT;67;0108;09276;;EQT9118;AU;;;;;AT;;;
D091200073;06285;;;NC;20/09/2012;1430;2;D;;03;7608;;;00001000000100000;0100;;67;0108;06285;;;BI;DRM0022;CM;;;OU;;;
D091200074;19996;;328;;25/09/2012;1603;4;D;;03;7715;;;00000001000000000;0100;CT;00;0108;19996;;DTA0674;OU;;;;;AT;;;
D091200077;01667;;26;;28/09/2012;0909;4;D;;03;7786;;;10000000000000000;0100;CT;67;0109;01667;;EBF2368;AU;;;;;AT;;;
D091200078;04831;;;NC;20/09/2012;0815;4;D;;03;8733;;;10000000000000000;0100;;67;0109;04831;;LPP3205;AU;;;;;AT;;;
D091200110;19764;;;NC;19/09/2012;0650;4;D;;05;5346;;;11000000000000000;0100;;17;0113;19764;;EBO9033;AU;FAF0945;MO;;;AT;;;
D091200120;14810;;;PXVD MJ QUEDINH;29/09/2012;1730;2;D;;05;7182;;;20000000100000000;0100;;67;0114;14810;;EJD5406;AU;EFW8005;AU;DSL7809;MC;CF;;;
D091200127;19764;;;PXVD JACEGUAI;29/09/2012;1901;4;D;;05;7685;B;;21000000000000000;0100;;17;0115;19764;;EXL0556;MO;EJK3531;AU;DSI6013;AU;AT;;;
D091200128;19764;;;PXVD JACEGUAI;29/09/2012;2320;2;D;;05;7695;B;;01000000000000000;0100;;17;0115;19764;;EII4880;MO;;;;;QM;;;
D091200438;19764;;;SBVD TUTOIA;14/09/2012;1007;2;D;;36;3580;B;;11000000000000000;0100;;17;0219;19764;;DOM6954;AU;BXQ8692;MO;;;CO;;;
D091200449;19764;;;NC;01/09/2012;0023;2;D;;36;8618;C;;11000000000000000;0100;;17;0220;19764;;DVI4991;AU;EXC5512;MO;;;CO;;;
D091202489;06642;;3300;;02/09/2012;0210;4;D;;05;5152;;;10000000000000000;0001;;;0008;06642;;FFB9090;AU;;;;;AT;;;
D101200006;06642;13853;;;09/10/2012;0224;2;D;;01;7047;;;10001000000000000;0100;CT;80;0101;06642;13853;FAL6054;AU;;BI;;;CO;;;
D101200007;19764;;10;;16/10/2012;2315;2;D;;01;7241;;;01000000000000000;0100;VM;17;0101;19764;;BRU0438;MO;;;;;QM;;;
D101200010;13853;06642;;;30/10/2012;1530;2;D;;01;7938;;;11000000000000000;0100;CT;80;0101;06642;13853;FAP6247;MO;FEP8983;AU;;;CO;;;
D101200011;19745;04342;;;01/10/2012;1611;4;D;;01;9113;;;01000000000000000;0200;CT;80;0102;04342;19745;DJT9118;MO;;;;;AT;;;
D101200012;15984;;148;;02/10/2012;1030;2;D;;01;9133;;;00001000000100000;0100;CT;01;0102;15984;;FAD8310;CM;;BI;;;CO;;;
D101200013;05111;16870;;;03/10/2012;0850;4;D;;01;9173;;;01000000000000000;0100;CT;80;0102;05111;16870;DZR6923;MO;;;;;AT;;;
D101200017;04146;13853;;;06/10/2012;0850;2;D;;01;9288;;;10000001000000000;0100;CT;80;0102;04146;16725;CDQ7695;AU;DTC5647;OU;;;CO;;;
D101200018;11824;06889;;;06/10/2012;1809;4;D;;01;9305;;;10000000000000000;0100;CT;80;0102;06889;11824;CRA8314;AU;;;;;AT;;;
D101200024;03387;;100;;12/10/2012;1115;4;D;;01;9533;;;10000000000000000;0100;CT;80;0103;03387;;EBN7071;AU;;;;;AT;;;
D101200026;04342;;100;;17/10/2012;1630;4;D;;01;9695;;;10000000000000000;0100;CT;80;0103;04342;;EMV2460;AU;;;;;AT;;;
D101200027;17226;19543;;;18/10/2012;1410;2;D;;01;9729;;;11000000000000000;0100;;;0103;17226;19543;DNG8003;MO;EZK8120;AU;;;CL;;;
D101200029;10376;;10;;19/10/2012;1420;4;D;;01;9776;;;01000000000000000;0100;CT;80;0103;99971;;EHK5796;MO;;;;;AT;;;
D101200030;19745;;100;;19/10/2012;1800;4;D;;01;9780;;;10000000000000000;0100;CT;80;0103;19745;;DTD1550;AU;;;;;AT;;;
D101200031;13853;04146;;;20/10/2012;0620;2;D;;01;9784;;;11000000000000000;0100;CT;80;0103;04146;16725;EJN2892;MO;ELX7436;AU;;;CO;;;
